Email,PersonID,ContactType
a8f9c2d1@mail.com,1,Work
b3e7a4f9@temp.net,2,Personal
c2d1a8f9@demo.io,3,Work
d9b3e7a4@test.org,4,Work
e4f9c2d1@mail.co,5,Personal
f7a4d9b3@temp.com,6,Personal
g1c2d1a8@demo.net,7,Work
h3e7a4f9@test.io,8,Work
i9b3e7a4@mail.org,9,Personal
j4f9c2d1@temp.co,10,Work
k7a4d9b3@demo.com,11,Work
l1c2d1a8@test.net,12,Personal
m3e7a4f9@mail.io,13,Personal
n9b3e7a4@temp.org,14,Work
o4f9c2d1@demo.co,15,Work
p7a4d9b3@test.com,16,Personal
q1c2d1a8@mail.net,17,Work
r3e7a4f9@temp.io,18,Work
s9b3e7a4@demo.org,19,Personal
t4f9c2d1@test.co,20,Personal
u7a4d9b3@mail.com,21,Work
v1c2d1a8@temp.net,22,Work
w3e7a4f9@demo.io,23,Personal
x9b3e7a4@test.org,24,Work
y4f9c2d1@mail.co,25,Work
z7a4d9b3@temp.com,26,Personal
a1c2d1a8@demo.net,27,Work
b3e7a4f9@test.io,28,Personal
c9b3e7a4@mail.org,29,Work
d4f9c2d1@temp.co,30,Work
e7a4d9b3@demo.com,31,Personal
f1c2d1a8@test.net,32,Personal
g3e7a4f9@mail.io,33,Work
h9b3e7a4@temp.org,34,Work
i4f9c2d1@demo.co,35,Personal
j7a4d9b3@test.com,36,Work
k1c2d1a8@mail.net,37,Work
l3e7a4f9@temp.io,38,Personal
m9b3e7a4@demo.org,39,Personal
n4f9c2d1@test.co,40,Work
o7a4d9b3@mail.com,41,Work
p1c2d1a8@temp.net,42,Personal
q3e7a4f9@demo.io,43,Work
r9b3e7a4@test.org,44,Work
s4f9c2d1@mail.co,45,Personal
t7a4d9b3@temp.com,46,Personal
u1c2d1a8@demo.net,47,Work
v3e7a4f9@test.io,48,Work
w9b3e7a4@mail.org,49,Personal
x4f9c2d1@temp.co,50,Work
